replicate,pos,y_bin,median_intensity
replicate_5,pos3,28.0,252.025974025974
replicate_5,pos4,0.0,289.1564687975647
replicate_5,pos4,1.0,332.758064516129
replicate_5,pos4,2.0,373.3272727272727
replicate_5,pos4,3.0,364.3895491803279
replicate_5,pos4,4.0,375.95806451612907
replicate_5,pos4,5.0,350.1301247771836
replicate_5,pos4,6.0,350.26666666666665
replicate_5,pos4,7.0,381.3569565217391
replicate_5,pos4,8.0,341.04597701149424
replicate_5,pos4,9.0,285.1666666666667
replicate_5,pos4,10.0,323.843954248366
replicate_5,pos4,11.0,337.9
replicate_5,pos4,12.0,306.68518518518516
replicate_5,pos4,13.0,268.4
replicate_5,pos4,14.0,272.9761904761905
replicate_5,pos4,15.0,277.8907624633431
replicate_5,pos4,16.0,241.41540404040404
replicate_5,pos4,17.0,236.71338383838383
replicate_5,pos4,18.0,234.8309414466131
replicate_5,pos4,19.0,226.8307692307692
replicate_5,pos4,20.0,222.08823529411765
replicate_5,pos4,21.0,212.83098591549296
replicate_5,pos4,22.0,217.91176470588235
replicate_5,pos4,23.0,214.19444444444449
replicate_5,pos4,24.0,214.7173913043478
replicate_5,pos4,25.0,224.36363636363637
replicate_5,pos4,26.0,230.44776119402985
replicate_5,pos4,27.0,239.4406779661017
replicate_5,pos4,28.0,253.71700879765396
replicate_5,pos5,0.0,274.6619718309859
replicate_5,pos5,1.0,312.02941176470586
replicate_5,pos5,2.0,315.3346530920061
replicate_5,pos5,3.0,330.8205128205128
replicate_5,pos5,4.0,351.0575684380033
replicate_5,pos5,5.0,344.1100453435647
replicate_5,pos5,6.0,301.16279069767444
replicate_5,pos5,7.0,284.07433838834373
replicate_5,pos5,8.0,283.23636363636365
replicate_5,pos5,9.0,286.3063673081492
replicate_5,pos5,10.0,290.7608695652174
replicate_5,pos5,11.0,288.74906444906446
replicate_5,pos5,12.0,250.34782608695653
replicate_5,pos5,13.0,264.9076367389061
replicate_5,pos5,14.0,257.68888888888887
replicate_5,pos5,15.0,237.79311639549434
replicate_5,pos5,16.0,216.80769230769232
replicate_5,pos5,17.0,205.42457356076758
replicate_5,pos5,18.0,202.4375
replicate_5,pos5,19.0,199.666412601626
replicate_5,pos5,20.0,194.2154761904762
replicate_5,pos5,21.0,192.6071428571429
replicate_5,pos5,22.0,192.9123781148429
replicate_5,pos5,23.0,201.1891891891892
replicate_5,pos5,24.0,195.0143790849673
replicate_5,pos5,25.0,194.7625
replicate_5,pos5,26.0,196.16417910447765
replicate_5,pos5,27.0,200.2923832923833
replicate_5,pos5,28.0,206.5606060606061
replicate_5,pos6,0.0,340.54651162790697
replicate_5,pos6,1.0,364.41031746031746
replicate_5,pos6,2.0,367.67439974042827
replicate_5,pos6,3.0,397.722816399287
