replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_4,pos8,27,41.25,222.50131362889985,61.17171761793776,15.731892883448042,13.451365572600176
replicate_4,pos8,28,42.75,215.89447938504543,54.564883374083365,14.127565917310841,12.686384234015339
replicate_4,pos8,29,44.25,215.75438596491227,54.42478995395021,14.093561460580919,11.958927937804086
replicate_4,pos8,30,45.75,211.84901277584208,50.51941676487999,13.145573650764598,11.266844941764958
replicate_4,pos8,31,47.25,217.1045321637427,55.774936152780626,14.421288649944808,10.608088134343284
replicate_4,pos8,32,48.75,214.46953467954347,53.139938668581394,13.781696467869692,9.980708979482106
replicate_4,pos8,33,50.25,215.15555555555557,53.8259595445935,13.948210434946912,9.382851753049462
replicate_4,pos8,34,51.75,221.54558527466207,60.21598926370001,15.499684738895782,8.81274805379394
replicate_5,pos0,0,0.75,299.0016227180528,137.67202670709068,34.96190759971382,119.51721335941284
replicate_5,pos0,1,2.25,358.90909090909093,197.57949489812887,51.64823010633133,114.16088161212099
replicate_5,pos0,2,3.75,398.1372549019608,236.8076588909987,63.72214363451446,108.96471911409058
replicate_5,pos0,3,5.25,418.36206896551727,257.0324729545552,70.38395277033975,103.9214355795898
replicate_5,pos0,4,6.75,454.2680045011253,292.9384084901632,83.07105137064833,99.02395521412464
replicate_5,pos0,5,8.25,439.8125,278.48290398903794,77.82150603815987,94.26540678700448
replicate_5,pos0,6,9.75,472.59722222222223,311.26762621126016,90.02854881021607,89.63911399091295
replicate_5,pos0,7,11.25,448.589805211232,287.26020920026997,80.98503101767177,85.13858607495932
replicate_5,pos0,8,12.75,456.768115942029,295.43851993106693,83.99964649022077,80.75750873806777
replicate_5,pos0,9,14.25,482.515625,321.18602898903794,93.9444851513359,76.48973526992829
replicate_5,pos0,10,15.75,454.06944444444446,292.7398484334824,82.99756959335429,72.32927792707956
replicate_5,pos0,11,17.25,449.55555555555554,288.2259595445935,81.33759705714411,68.27029953202458
replicate_5,pos0,12,18.75,411.17105263157896,249.8414566206169,67.97817250447004,64.30710528359214
replicate_5,pos0,13,20.25,378.9387755102041,217.60917949924203,57.68263860181687,60.43413476705452
replicate_5,pos0,14,21.75,357.6649350649351,196.335339053973,51.28176303683535,56.645954152790885
replicate_5,pos0,15,23.25,353.86486486486484,192.5352688539028,50.16824020774032,52.93724857255141
replicate_5,pos0,16,24.75,349.9795918367347,188.64999582577263,49.03862655737521,49.302814662625735
replicate_5,pos0,17,26.25,328.5869565217391,167.25736051077706,42.9712342142805,45.737553263453975
replicate_5,pos0,18,27.75,288.7409090909091,127.41131307994704,32.27455981915373,42.23646226543724
replicate_5,pos0,19,29.25,281.2351449275362,119.90554891657416,30.334874274758416,38.794629590910844
replicate_5,pos0,20,30.75,282.96610169491527,121.6365056839532,30.780329364063736,35.40722630243337
replicate_5,pos0,21,32.25,280.5333333333333,119.20373732237128,30.15457710382937,32.06949982772262
