replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos17,17,26.25,216.1625,54.83290398903793,21.476536885245906,194.6859631147541,6.008449402386101,4.548144105960744
replicate_4,pos17,18,27.75,203.51177394034536,42.1821779293833,8.825810825591276,194.6859631147541,2.711262410517609,3.8155083096522104
replicate_4,pos17,19,29.25,201.6551724137931,40.32557640283105,6.969209299039022,194.6859631147541,2.198083335690696,3.1969650916369554
replicate_4,pos17,20,30.75,202.50201522615316,41.17241921519109,7.816052111399074,194.6859631147541,2.4337049190165074,2.6740185701603396
replicate_4,pos17,21,32.25,201.28947368421052,39.95987767324846,6.603510569456432,194.6859631147541,2.0954255994542,2.231031427176473
replicate_4,pos17,22,33.75,195.6951566951567,34.365560684194634,1.0091935804026093,194.6859631147541,0.3985024867506571,1.8547573161459043
replicate_4,pos17,23,35.25,198.0909090909091,36.76131307994703,3.4049459761550054,194.6859631147541,1.165646843190235,1.5339447654458653
replicate_4,pos17,24,36.75,200.72413793103448,39.39454192007241,6.038174816280389,194.6859631147541,1.9355272471003493,1.2590007331831916
replicate_4,pos17,25,38.25,194.6859631147541,33.35636710379204,0.0,194.6859631147541,0.0,1.0217037529158244
replicate_4,pos17,26,39.75,194.68609550561797,33.35649949465589,0.0001323908638823923,194.6859631147541,0.0001517470917452564,0.8149580926723713
replicate_4,pos17,27,41.25,196.30645161290323,34.97685560194117,1.6204884981491432,194.6859631147541,0.605091071616451,0.6325815760522594
replicate_4,pos17,28,42.75,199.55555555555551,38.22595954459345,4.869592440801426,194.6859631147541,1.5996808710854449,0.46912072076357525
replicate_4,pos17,29,44.25,193.51777777777775,32.1881817668157,-1.168185336976336,194.6859631147541,0.0,0.31968766681064487
replicate_4,pos17,30,45.75,197.69377289377292,36.36417688281084,3.007809779018828,194.6859631147541,1.0446352570305293,0.17981401810464334
replicate_4,pos17,31,47.25,204.35443037974684,43.02483436878478,9.668467264992756,194.6859631147541,2.9404282260473913,0.04531722702123826
replicate_4,pos17,32,48.75,209.90899460708783,48.57939859612576,15.223031492333746,194.6859631147541,4.409835777085048,-0.08782447350742331
replicate_4,pos17,33,50.25,215.59036144578317,54.26076543482111,20.904398331029086,194.6859631147541,5.863895436634049,-0.22359233018790453
replicate_4,pos17,34,51.75,223.58333333333337,62.25373732237131,28.897370218579283,194.6859631147541,7.861747358931632,-0.3660461179075625
replicate_4,pos18,0,0.75,284.69680530440024,123.36720929343818,98.5929969505919,186.10380835380835,24.9337164598124,158.74683604733806
replicate_4,pos18,1,2.25,335.80555555555554,174.47595954459348,149.7017472017472,186.10380835380835,38.169409438067355,123.30493223459202
