replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_5,pos3,0,0.75,274.94594594594594,113.61634993498387,31.121760657551622,53.76402938224799
replicate_5,pos3,1,2.25,292.5083333333333,131.17873732237126,32.93511404024218,52.30764764740387
replicate_5,pos3,2,3.75,348.4,187.0704039890379,40.84175162406775,50.873686299742545
replicate_5,pos3,3,5.25,336.2987012987013,174.96910528773924,38.5155595772331,49.461530706986274
replicate_5,pos3,4,6.75,360.1111111111111,198.78151510014905,43.34332669551337,48.07057558335798
replicate_5,pos3,5,8.25,349.001254180602,187.67165816963995,40.96593616121634,46.70022473014049
replicate_5,pos3,6,9.75,381.1470588235294,219.81746281256733,48.304523994507335,45.34989078013058
replicate_5,pos3,7,11.25,378.8301886792453,217.5005926682832,47.72680232220529,44.01899494587848
replicate_5,pos3,8,12.75,367.2552182163188,205.92562220535672,44.95824645172631,42.706966771604876
replicate_5,pos3,9,14.25,341.2906504065041,179.96105439554202,39.41879453593145,41.41324388868901
replicate_5,pos3,10,15.75,320.6017957351291,159.27219972416702,36.144349464637735,40.13727177462323
replicate_5,pos3,11,17.25,345.9555555555556,184.6259595445935,40.341469825508554,38.87850351533057
