replicate,pos,y_bin,y_um,median_intensity
replicate_4,pos38,26,39.75,221.65851449275362
replicate_4,pos38,27,41.25,215.2
replicate_4,pos38,28,42.75,208.1578947368421
replicate_4,pos38,29,44.25,213.0879120879121
replicate_4,pos38,30,45.75,212.1203888334995
replicate_4,pos38,31,47.25,216.671875
replicate_4,pos38,32,48.75,224.2832080200501
replicate_4,pos38,33,50.25,226.42222222222225
replicate_4,pos38,34,51.75,246.98840413318027
replicate_4,pos39,0,0.75,277.45569620253167
replicate_4,pos39,1,2.25,328.79751275510205
replicate_4,pos39,2,3.75,342.1063829787234
replicate_4,pos39,3,5.25,371.1764705882353
replicate_4,pos39,4,6.75,373.6039990936898
replicate_4,pos39,5,8.25,391.7037037037037
replicate_4,pos39,6,9.75,383.6025641025641
replicate_4,pos39,7,11.25,379.95238095238096
replicate_4,pos39,8,12.75,355.20636889991727
replicate_4,pos39,9,14.25,322.1313652326602
replicate_4,pos39,10,15.75,312.0833333333333
replicate_4,pos39,11,17.25,296.0805152979066
replicate_4,pos39,12,18.75,301.6735115167319
replicate_4,pos39,13,20.25,288.4166666666667
replicate_4,pos39,14,21.75,270.25080128205127
replicate_4,pos39,15,23.25,253.01146616541357
replicate_4,pos39,16,24.75,235.02702702702703
replicate_4,pos39,17,26.25,229.22506467375683
replicate_4,pos39,18,27.75,218.7741935483871
replicate_4,pos39,19,29.25,223.45
replicate_4,pos39,20,30.75,213.5581395348837
replicate_4,pos39,21,32.25,211.12760416666669
replicate_4,pos39,22,33.75,207.1384615384615
replicate_4,pos39,23,35.25,207.85897435897436
replicate_4,pos39,24,36.75,205.42424242424244
replicate_4,pos39,25,38.25,206.50908521303262
replicate_4,pos39,26,39.75,201.2258064516129
replicate_4,pos39,27,41.25,196.5
replicate_4,pos39,28,42.75,200.5148977604674
replicate_4,pos39,29,44.25,200.49180327868856
replicate_4,pos39,30,45.75,199.35616438356163
replicate_4,pos39,31,47.25,204.7007575757576
replicate_4,pos39,32,48.75,204.85185185185185
replicate_4,pos39,33,50.25,214.78947368421052
replicate_4,pos39,34,51.75,225.542194092827
replicate_4,pos8,0,0.75,282.3604202401372
replicate_4,pos8,1,2.25,341.1877450980392
replicate_4,pos8,2,3.75,365.4
replicate_4,pos8,3,5.25,365.75
replicate_4,pos8,4,6.75,372.6433333333333
replicate_4,pos8,5,8.25,344.6774193548387
replicate_4,pos8,6,9.75,336.6619718309859
replicate_4,pos8,7,11.25,319.32758620689657
replicate_4,pos8,8,12.75,302.4561403508772
replicate_4,pos8,9,14.25,314.23809523809524
replicate_4,pos8,10,15.75,300.10375
replicate_4,pos8,11,17.25,285.2830188679245
replicate_4,pos8,12,18.75,278.8666666666667
replicate_4,pos8,13,20.25,267.794384057971
replicate_4,pos8,14,21.75,270.2105263157895
replicate_4,pos8,15,23.25,260.6666666666667
replicate_4,pos8,16,24.75,264.9647058823529
replicate_4,pos8,17,26.25,263.015625
replicate_4,pos8,18,27.75,268.0
replicate_4,pos8,19,29.25,254.45070422535213
replicate_4,pos8,20,30.75,241.0206349206349
replicate_4,pos8,21,32.25,231.86708019494904
replicate_4,pos8,22,33.75,223.3375
replicate_4,pos8,23,35.25,220.8064233064233
replicate_4,pos8,24,36.75,214.8448275862069
replicate_4,pos8,25,38.25,214.21818181818185
replicate_4,pos8,26,39.75,219.65217391304347
replicate_4,pos8,27,41.25,222.50131362889982
replicate_4,pos8,28,42.75,215.89447938504543
replicate_4,pos8,29,44.25,215.75438596491227
replicate_4,pos8,30,45.75,211.84901277584206
replicate_4,pos8,31,47.25,217.1045321637427
replicate_4,pos8,32,48.75,214.46953467954347
replicate_4,pos8,33,50.25,215.15555555555557
replicate_4,pos8,34,51.75,221.54558527466207
replicate_5,pos0,0,0.75,299.0016227180528
replicate_5,pos0,1,2.25,358.90909090909093
replicate_5,pos0,2,3.75,398.1372549019608
replicate_5,pos0,3,5.25,418.36206896551727
replicate_5,pos0,4,6.75,454.2680045011253
replicate_5,pos0,5,8.25,439.8125
replicate_5,pos0,6,9.75,472.59722222222223
replicate_5,pos0,7,11.25,448.58980521123203
replicate_5,pos0,8,12.75,456.768115942029
replicate_5,pos0,9,14.25,482.515625
replicate_5,pos0,10,15.75,454.06944444444446
replicate_5,pos0,11,17.25,449.55555555555554
replicate_5,pos0,12,18.75,411.17105263157896
replicate_5,pos0,13,20.25,378.9387755102041
replicate_5,pos0,14,21.75,357.6649350649351
replicate_5,pos0,15,23.25,353.86486486486484
replicate_5,pos0,16,24.75,349.9795918367347
replicate_5,pos0,17,26.25,328.5869565217391
replicate_5,pos0,18,27.75,288.7409090909091
replicate_5,pos0,19,29.25,281.2351449275362
replicate_5,pos0,20,30.75,282.96610169491527
replicate_5,pos0,21,32.25,280.5333333333333
replicate_5,pos0,22,33.75,267.3915317559153
replicate_5,pos0,23,35.25,264.2439024390244
replicate_5,pos0,24,36.75,249.39324534161494
replicate_5,pos0,25,38.25,239.9058441558442
replicate_5,pos0,26,39.75,234.23840852130326
replicate_5,pos0,27,41.25,218.32491803278688
replicate_5,pos0,28,42.75,224.7770114942529
replicate_5,pos0,29,44.25,224.58052884615384
replicate_5,pos0,30,45.75,223.44444444444449
